팀 컬러,팀 컬러 설명,1단계 적용 조건,2단계 적용 조건,3단계 적용 조건,4단계 적용 조건,1단계 효과,2단계 효과,3단계 효과,4단계 효과
01-03 성남FC 리그3연패 베스트,"2001년, 2002년, 2003년 K리그 3연패를 달성한 성남FC 선수들로 구성된 팀컬러입니다.",5명,-,-,-,골 결정력 +3 / 슛 파워 +2 /  / ,-,-,-
02 수원삼성 더블,2002년 FA컵과 아시아 챔피언스 리그를 우승한 수원삼성 블루윙즈 선수들로 구성된 팀컬러입니다.,5명,-,-,-,크로스 +2 / 반응 속도 +2 / 커브 +1 / ,-,-,-
09 포항 스틸러스 더블,2009년 리그컵과 아시아 챔피언스 리그를 우승한 포항 스틸러스 선수들로 구성된 팀컬러입니다.,5명,-,-,-,볼 컨트롤 +2 / 밸런스 +2 / 대인 수비 +1 / ,-,-,-
10 FC서울 더블,2010년 K리그와 리그컵을 우승한 FC서울 선수들로 구성된 팀컬러입니다.,5명,-,-,-,골 결정력 +2 / 대인 수비 +2 / 헤더 +1 / ,-,-,-
13 포항 스틸러스 더블,2013년 K리그와 FA컵을 우승한 포항 스틸러스 선수들로 구성된 팀컬러입니다.,5명,-,-,-,스태미너 +2 / 짧은 패스 +2 / 시야 +1 / ,-,-,-
14-15 전북현대 리그연패 베스트,"2014년, 2015년 K리그 2연패를 달성한 전북현대 선수들로 구성된 팀컬러입니다.",5명,-,-,-,골 결정력 +2 / 가속력 +2 / 크로스 +1 / ,-,-,-
17-19 전북현대 리그3연패 베스트,"2017년, 2018년, 2019년 K리그 3연패를 달성한 전북현대 선수들로 구성된 팀컬러입니다.",5명,-,-,-,밸런스 +2 / 짧은 패스 +2 / 크로스 +1 / ,-,-,-
2002 대한민국,2002 대한민국 선수들로 구성된 팀컬러입니다.,5명,-,-,-,스태미너 +2 / 몸싸움 +2 / 적극성 +1 / ,-,-,-
2006 잉글랜드,2006 잉글랜드 선수들로 구성된 팀컬러입니다.,5명,-,-,-,긴 패스 +2 / 중거리 슛 +2 / 속력 +1 / ,-,-,-
2019 U-20 대한민국,2019 U-20 대한민국 선수들로 구성된 팀컬러입니다.,5명,-,-,-,볼 컨트롤 +2 / 긴 패스 +2 / 짧은 패스 +1 / ,-,-,-
2021 네덜란드,2021시즌 네덜란드 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 볼 컨트롤 +3 / 시야 +2 / 긴 패스 +2,-,-,-
2021 덴마크,2021시즌 덴마크 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,중거리 슛 +3 / 슛 파워 +3 / 긴 패스 +2 / 시야 +2,-,-,-
2021 독일,2021시즌 독일 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,몸싸움 +3 / 반응 속도 +3 / 볼 컨트롤 +2 / 긴 패스 +2,-,-,-
2021 벨기에,2021시즌 벨기에 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,몸싸움 +3 / 골 결정력 +3 / 시야 +2 / 드리블 +2,-,-,-
2021 북마케도니아,2021시즌 북마케도니아 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 밸런스 +3 / 가로채기 +2 / 스태미너 +2,-,-,-
2021 스웨덴,2021시즌 스웨덴 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,스태미너 +3 / 골 결정력 +3 / 긴 패스 +2 / 속력 +2,-,-,-
2021 스위스,2021시즌 스위스 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,반응 속도 +3 / 침착성 +3 / 민첩성 +2 / 헤더 +2,-,-,-
2021 스코틀랜드,2021시즌 스코틀랜드 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,속력 +3 / 대인 수비 +3 / 태클 +2 / 슬라이딩 태클 +2,-,-,-
2021 스페인,2021시즌 스페인 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,볼 컨트롤 +3 / 짧은 패스 +3 / 민첩성 +2 / 드리블 +2,-,-,-
2021 슬로바키아,2021시즌 슬로바키아 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 태클 +3 / 적극성 +2 / 반응 속도 +2,-,-,-
2021 오스트리아,2021시즌 오스트리아 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,크로스 +3 / 스태미너 +3 / 헤더 +2 / 몸싸움 +2,-,-,-
2021 우크라이나,2021시즌 우크라이나 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,중거리 슛 +3 / 가로채기 +3 / 침착성 +2 / 커브 +2,-,-,-
2021 웨일스,2021시즌 웨일스 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,헤더 +3 / 위치 선정 +3 / 속력 +2 / 점프 +2,-,-,-
2021 이탈리아,2021시즌 이탈리아 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가로채기 +3 / 짧은 패스 +3 / 가속력 +2 / 침착성 +2,-,-,-
2021 잉글랜드,2021시즌 잉글랜드 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,속력 +3 / 골 결정력 +3 / 스태미너 +2 / 밸런스 +2,-,-,-
2021 체코,2021시즌 체코 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 헤더 +3 / 크로스 +2 / 점프 +2,-,-,-
2021 크로아티아,2021시즌 크로아티아 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,긴 패스 +3 / 태클 +3 / 반응 속도 +2 / 슛 파워 +2,-,-,-
2021 튀르키예,2021시즌 튀르키예 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 가로채기 +3 / 반응 속도 +2 / 중거리 슛 +2,-,-,-
2021 포르투갈,2021시즌 포르투갈 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 볼 컨트롤 +3 / 스태미너 +2 / 드리블 +2,-,-,-
2021 폴란드,2021시즌 폴란드 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,몸싸움 +3 / 골 결정력 +3 / 슛 파워 +2 / 시야 +2,-,-,-
2021 프랑스,2021시즌 프랑스 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,속력 +3 / 시야 +3 / 중거리 슛 +2 / 커브 +2,-,-,-
2021 핀란드,2021시즌 핀란드 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,적극성 +3 / 스태미너 +3 / 대인 수비 +2 / 슬라이딩 태클 +2,-,-,-
2021 헝가리,2021시즌 헝가리 국적으로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,적극성 +3 / 속력 +3 / 골 결정력 +2 / 가로채기 +2,-,-,-
2022 가나,2022시즌 가나 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,민첩성 +3 / 밸런스 +3 / 몸싸움 +2 / 가로채기 +2,-,-,-
2022 네덜란드,2022시즌 네덜란드 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,태클 +3 / 밸런스 +3 / 볼 컨트롤 +2 / 대인 수비 +2,-,-,-
2022 대한민국,2022시즌 대한민국 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 중거리 슛 +3 / 태클 +2 / 긴 패스 +2,-,-,-
2022 덴마크,2022시즌 덴마크 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 태클 +3 / 헤더 +2 / 밸런스 +2,-,-,-
2022 독일,2022시즌 독일 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,밸런스 +3 / 긴 패스 +3 / 슬라이딩 태클 +2 / 스태미너 +2,-,-,-
2022 멕시코,2022시즌 멕시코 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 짧은 패스 +3 / 볼 컨트롤 +2 / 민첩성 +2,-,-,-
2022 모로코,2022시즌 모로코 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,속력 +3 / 적극성 +3 / 크로스 +2 / 슬라이딩 태클 +2,-,-,-
2022 미국,2022시즌 미국 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 속력 +3 / 적극성 +2 / 짧은 패스 +2,-,-,-
2022 벨기에,2022시즌 벨기에 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,짧은 패스 +3 / 볼 컨트롤 +3 / 긴 패스 +2 / 중거리 슛 +2,-,-,-
2022 브라질,2022시즌 브라질 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 볼 컨트롤 +3 / 민첩성 +2 / 반응 속도 +2,-,-,-
2022 사우디아라비아,2022시즌 사우디아라비아 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 밸런스 +3 / 속력 +2 / 가로채기 +2,-,-,-
2022 세네갈,2022시즌 세네갈 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 몸싸움 +3 / 밸런스 +2 / 태클 +2,-,-,-
2022 세르비아,2022시즌 세르비아 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 침착성 +3 / 몸싸움 +2 / 크로스 +2,-,-,-
2022 스위스,2022시즌 스위스 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,밸런스 +3 / 스태미너 +3 / 짧은 패스 +2 / 몸싸움 +2,-,-,-
2022 스페인,2022시즌 스페인 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,볼 컨트롤 +3 / 짧은 패스 +3 / 민첩성 +2 / 반응 속도 +2,-,-,-
2022 아르헨티나,2022시즌 아르헨티나 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 시야 +3 / 짧은 패스 +2 / 태클 +2,-,-,-
2022 에콰도르,2022시즌 에콰도르 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,슬라이딩 태클 +3 / 속력 +3 / 적극성 +2 / 스태미너 +2,-,-,-
2022 우루과이,2022시즌 우루과이 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,태클 +3 / 가로채기 +3 / 위치 선정 +2 / 밸런스 +2,-,-,-
2022 웨일스,2022시즌 웨일스 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 속력 +3 / 몸싸움 +2 / 점프 +2,-,-,-
2022 이란,2022시즌 이란 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 몸싸움 +3 / 점프 +2 / 골 결정력 +2,-,-,-
2022 일본,2022시즌 일본 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,짧은 패스 +3 / 민첩성 +3 / 가속력 +2 / 볼 컨트롤 +2,-,-,-
2022 잉글랜드,2022시즌 잉글랜드 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 골 결정력 +3 / 민첩성 +2 / 짧은 패스 +2,-,-,-
2022 카메룬,2022시즌 카메룬 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,밸런스 +3 / 몸싸움 +3 / 짧은 패스 +2 / 침착성 +2,-,-,-
2022 카타르,2022시즌 카타르 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 위치 선정 +3 / 반응 속도 +2 / 슛 파워 +2,-,-,-
2022 캐나다,2022시즌 캐나다 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 민첩성 +3 / 크로스 +2 / 커브 +2,-,-,-
2022 코스타리카,2022시즌 코스타리카 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,태클 +3 / 점프 +3 / 스태미너 +2 / 위치 선정 +2,-,-,-
2022 크로아티아,2022시즌 크로아티아 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,짧은 패스 +3 / 크로스 +3 / 긴 패스 +2 / 태클 +2,-,-,-
2022 튀니지,2022시즌 튀니지 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 드리블 +3 / 볼 컨트롤 +2 / 몸싸움 +2,-,-,-
2022 포르투갈,2022시즌 포르투갈 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 볼 컨트롤 +3 / 짧은 패스 +2 / 민첩성 +2,-,-,-
2022 폴란드,2022시즌 폴란드 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 침착성 +3 / 헤더 +2 / 점프 +2,-,-,-
2022 프랑스,2022시즌 프랑스 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 민첩성 +3 / 반응 속도 +2 / 볼 컨트롤 +2,-,-,-
2022 호주,2022시즌 호주 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,몸싸움 +3 / 헤더 +3 / 스태미너 +2 / 밸런스 +2,-,-,-
20시즌 울산 (ACL 우승),20시즌 아시아 챔피언스 리그 우승팀 울산 선수들로 구성된 팀컬러입니다.,8명,-,-,-,속력 +3 / 골 결정력 +3 / 중거리 슛 +2 / 반응 속도 +2,-,-,-
20시즌 전북 (리그 우승),20시즌 K리그 우승팀 전북 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 드리블 +3 / 몸싸움 +2 / 침착성 +2,-,-,-
21-22 1. FC 우니온 베를린 (기한한정),21-22시즌 1. FC 우니온 베를린에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,점프 +3 / 몸싸움 +3 / 대인 수비 +2 / 태클 +2,-,-,-
21-22 1. FC 쾰른 (기한한정),21-22시즌 1. FC 쾰른에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 가로채기 +3 / 밸런스 +2 / 대인 수비 +2,-,-,-
21-22 AC밀란 (기한한정),21-22시즌 AC밀란에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 적극성 +3 / 대인 수비 +2 / 짧은 패스 +2,-,-,-
21-22 AS 모나코 (기한한정),21-22시즌 AS 모나코에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 스태미너 +3 / 크로스 +2 / 커브 +2,-,-,-
21-22 FC 낭트 (기한한정),21-22시즌 FC 낭트에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,몸싸움 +3 / 가로채기 +3 / 반응 속도 +2 / 태클 +2,-,-,-
21-22 OGC 니스 (기한한정),21-22시즌 OGC 니스에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 태클 +3 / 반응 속도 +2 / 대인 수비 +2,-,-,-
21-22 RB 라이프치히 (기한한정),21-22시즌 RB 라이프치히에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 짧은 패스 +3 / 위치 선정 +2 / 민첩성 +2,-,-,-
21-22 SC 프라이부르크 (기한한정),21-22시즌 SC 프라이부르크에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,태클 +3 / 대인 수비 +3 / 몸싸움 +2 / 스태미너 +2,-,-,-
21-22 나폴리 FC (기한한정),21-22시즌 나폴리 FC에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 골 결정력 +3 / 반응 속도 +2 / 위치 선정 +2,-,-,-
21-22 라티움 (기한한정),21-22시즌 라티움에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,태클 +3 / 긴 패스 +3 / 대인 수비 +2 / 슬라이딩 태클 +2,-,-,-
21-22 레알 마드리드 (기한한정),21-22시즌 레알 마드리드에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 가속력 +3 / 볼 컨트롤 +2 / 드리블 +2,-,-,-
21-22 레알 베티스 (기한한정),21-22시즌 레알 베티스에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,침착성 +3 / 골 결정력 +3 / 가속력 +2 / 스태미너 +2,-,-,-
21-22 레알 소시에다드 (기한한정),21-22시즌 레알 소시에다드에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,태클 +3 / 반응 속도 +3 / 위치 선정 +2 / 슬라이딩 태클 +2,-,-,-
21-22 로마 FC (기한한정),21-22시즌 로마 FC에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 짧은 패스 +3 / 스태미너 +2 / 위치 선정 +2,-,-,-
21-22 리버풀 (기한한정),21-22시즌 리버풀에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 가로채기 +3 / 스태미너 +2 / 크로스 +2,-,-,-
21-22 맨체스터 시티 (기한한정),21-22시즌 맨체스터 시티에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,짧은 패스 +3 / 볼 컨트롤 +3 / 시야 +2 / 드리블 +2,-,-,-
21-22 맨체스터 유나이티드 (기한한정),21-22시즌 맨체스터 유나이티드에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,침착성 +3 / 몸싸움 +3 / GK 핸들링 +2 / 점프 +2,-,-,-
21-22 바르셀로나 (기한한정),21-22시즌 바르셀로나에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,볼 컨트롤 +3 / 짧은 패스 +3 / 위치 선정 +2 / 밸런스 +2,-,-,-
21-22 바이에른 뮌헨 (기한한정),21-22시즌 바이에른 뮌헨에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 짧은 패스 +3 / 몸싸움 +2 / 슛 파워 +2,-,-,-
21-22 바이엘 04 레버쿠젠 (기한한정),21-22시즌 바이엘 04 레버쿠젠에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 가속력 +3 / 반응 속도 +2 / 골 결정력 +2,-,-,-
21-22 보루시아 도르트문트 (기한한정),21-22시즌 보루시아 도르트문트에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,스태미너 +3 / 위치 선정 +3 / 밸런스 +2 / 적극성 +2,-,-,-
21-22 비야레알 CF (기한한정),21-22시즌 비야레알 CF에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 드리블 +3 / 시야 +2 / 적극성 +2,-,-,-
21-22 세비야 (기한한정),21-22시즌 세비야에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,크로스 +3 / 짧은 패스 +3 / 위치 선정 +2 / 스태미너 +2,-,-,-
