팀 컬러,팀 컬러 설명,1단계 적용 조건,2단계 적용 조건,3단계 적용 조건,4단계 적용 조건,1단계 효과,2단계 효과,3단계 효과,4단계 효과
21-22 스타드 렌 (기한한정),21-22시즌 스타드 렌에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 반응 속도 +3 / 짧은 패스 +2 / 볼 컨트롤 +2,-,-,-
21-22 아스널 (기한한정),21-22시즌 아스널에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,스태미너 +3 / 짧은 패스 +3 / 위치 선정 +2 / GK 킥 +2,-,-,-
21-22 아인트라흐트 프랑크푸르트 (기한한정),21-22시즌 아인트라흐트 프랑크푸르트에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 크로스 +3 / 태클 +2 / 골 결정력 +2,-,-,-
21-22 아틀레티코 마드리드 (기한한정),21-22시즌 아틀레티코 마드리드에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 태클 +3 / 스태미너 +2 / 적극성 +2,-,-,-
21-22 올랭피크 마르세유 (기한한정),21-22시즌 올랭피크 마르세유에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,몸싸움 +3 / 점프 +3 / 위치 선정 +2 / 밸런스 +2,-,-,-
21-22 웨스트 햄 유나이티드 (기한한정),21-22시즌 웨스트 햄 유나이티드에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,크로스 +3 / 스태미너 +3 / 긴 패스 +2 / 몸싸움 +2,-,-,-
21-22 유벤투스 (기한한정),21-22시즌 유벤투스에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,밸런스 +3 / 짧은 패스 +3 / 몸싸움 +2 / 민첩성 +2,-,-,-
21-22 인테르 (기한한정),21-22시즌 인테르에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 골 결정력 +3 / 위치 선정 +2 / 드리블 +2,-,-,-
21-22 첼시 (기한한정),21-22시즌 첼시에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 가로채기 +3 / 대인 수비 +2 / 속력 +2,-,-,-
21-22 토트넘 홋스퍼 (기한한정),21-22시즌 토트넘 홋스퍼에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,속력 +3 / 커브 +3 / 슛 파워 +2 / 시야 +2,-,-,-
21-22 파리 생제르맹 (기한한정),21-22시즌 파리 생제르맹에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 가속력 +3 / 골 결정력 +2 / 민첩성 +2,-,-,-
21-22 피오렌티나 (기한한정),21-22시즌 피오렌티나에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,속력 +3 / 시야 +3 / 반응 속도 +2 / 밸런스 +2,-,-,-
98-99 수원삼성 리그연패 베스트,"1998년, 1999년 K리그 2연패를 달성한 수원삼성 블루윙즈 선수들로 구성된 팀컬러입니다.",5명,-,-,-,드리블 +2 / 반응 속도 +2 / 중거리 슛 +1 / ,-,-,-
eK리그 챔피언십 시즌1 우승 (기한한정),eK리그 챔피언십 시즌1 우승팀이 사용한 선수들로 이루어진 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 밸런스 +3 / 적극성 +2 / 헤더 +2,-,-,-
K리그 30주년 레전드,K리그 30주년 레전드에 선정된 선수들로 구성된 팀컬러입니다.,5명,-,-,-,침착성 +3 / 중거리 슛 +2 /  / ,-,-,-
K리그 EA 스포츠 POTM,EA스포츠에서 주관하는 K리그 이달의 선수 상을 받았던 선수로 구성된 팀컬러입니다.,3명,-,-,-,속력 +2 / 밸런스 +2 / 민첩성 +1 / ,-,-,-
K리그 트로이카,K리그 부흥기를 이끌었던 세명의 선수로 구성된 팀컬러입니다.,3명,-,-,-,슛 파워 +3 / 드리블 +3 / 프리킥 +3 / ,-,-,-
K리그 특별상,K리그 전경기 풀타임 출장 특별상을 받았던 선수로 구성된 팀컬러입니다.,3명,-,-,-,스태미너 +2 / GK 반응속도 +2 / GK 위치 선정 +1 / ,-,-,-
The Red's 공격 듀오,리버풀의 전설적인 공격 듀오로 구성된 팀컬러입니다.,2명,-,-,-,골 결정력 +1 / 가속력 +1 /  / ,-,-,-
The Red's 듀오,리버풀의 유명한 듀오로 구성된 팀컬러입니다.,2명,-,-,-,속력 +1 / 골 결정력 +1 /  / ,-,-,-
The Red's 양 날개,리버풀의 양 사이드백 듀오로 구성된 팀컬러입니다.,2명,-,-,-,슬라이딩 태클 +1 / 가속력 +1 /  / ,-,-,-
The Red's 영혼의 콤비,리버풀의 전설적인 콤비로 구성된 팀컬러입니다.,2명,-,-,-,위치 선정 +1 / 긴 패스 +1 /  / ,-,-,-
The Red's 트리오,리버풀 트리오로 구성된 팀컬러입니다.,3명,-,-,-,민첩성 +1 / 가속력 +1 / 골 결정력 +1 / ,-,-,-
갈락티코 1기,레알 마드리드 황금세대 1기 멤버로 구성된 팀컬러입니다.,5명,-,-,-,가속력 +2 / 반응 속도 +3 /  / ,-,-,-
강철제국 블루스,첼시의 최소실점 우승을 달성한 멤버로 구성된 팀컬러입니다.,5명,-,-,-,드리블 +2 / 골 결정력 +2 / 반응 속도 +1 / ,-,-,-
거너스 영혼의 콤비,아스날의 전설적인 콤비로 구성된 팀컬러입니다.,2명,-,-,-,골 결정력 +1 / 볼 컨트롤 +1 /  / ,-,-,-
게르만 듀오,인테르의 독일인 듀오로 구성된 팀컬러입니다.,2명,-,-,-,침착성 +1 / 가로채기 +1 /  / ,-,-,-
꿀벌군단 공격 트리오,도르트문트의 유명한 공격 트리오로 구성된 팀컬러입니다.,3명,-,-,-,위치 선정 +2 / 골 결정력 +1 /  / ,-,-,-
꿀벌군단 듀오,도르트문트의 유명한 듀오로 구성된 팀컬러입니다.,2명,-,-,-,반응 속도 +1 / 드리블 +1 /  / ,-,-,-
꿀벌군단 철벽수비진,도르트문트의 유명한 철벽 수비 라인으로 구성된 팀컬러입니다.,3명,-,-,-,몸싸움 +2 / 대인 수비 +1 /  / ,-,-,-
꿈의 잉글랜드 트리오,잉글랜드의 모두가 꿈꾸던 중원 트리오로 구성된 팀컬러입니다.,3명,-,-,-,위치 선정 +2 / 침착성 +1 /  / ,-,-,-
네덜란드 듀오,네덜란드의 전설적인 듀오로 구성된 팀컬러입니다.,2명,-,-,-,몸싸움 +1 / 헤더 +1 /  / ,-,-,-
네덜란드 황금세대,네덜란드 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,볼 컨트롤 +2 / 헤더 +2 / 짧은 패스 +1 / ,-,-,-
네라주리 공격 듀오,인테르의 유명한 공격 콤비로 구성된 팀컬러입니다.,2명,-,-,-,몸싸움 +1 / 중거리 슛 +1 /  / ,-,-,-
네라주리 트레블,인테르의 트레블을 달성한 선수들로 구성된 팀컬러입니다.,5명,-,-,-,대인 수비 +2 / 반응 속도 +2 / 가속력 +1 / ,-,-,-
덴마크 형제,덴마크의 유명한 형제 선수로 구성된 팀컬러입니다.,2명,-,-,-,드리블 +1 / 시야 +1 /  / ,-,-,-
독일 황금세대,독일 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,짧은 패스 +2 / 골 결정력 +2 / 몸싸움 +1 / ,-,-,-
라티움 듀오,라티움의 뛰어난 호흡을 보인 두 선수로 구성된 팀컬러입니다.,2명,-,-,-,슬라이딩 태클 +1 / 반응 속도 +1 /  / ,-,-,-
라티움 트리오,라티움의 유명한 공격 트리오로 구성된 팀컬러입니다.,3명,-,-,-,골 결정력 +2 / 헤더 +1 /  / ,-,-,-
레드 데블스 트레블,맨체스터 유나이티드의 트레블을 달성한 선수들로 구성된 팀컬러입니다.,5명,-,-,-,헤더 +2 / 위치 선정 +2 / 스태미너 +1 / ,-,-,-
레드데블스 절친 트리오,맨체스터 유나이티드의 절친 트리오로 구성된 팀컬러입니다.,3명,-,-,-,가로채기 +2 / 속력 +1 /  / ,-,-,-
레드데블스 철벽라인,맨체스터 유나이티드의 철벽수비라인으로 구성된 팀컬러입니다.,3명,-,-,-,적극성 +2 / 대인 수비 +1 /  / ,-,-,-
레드데블스 키즈,맨체스터 유나이티드의 전설적인 유스출신 선수들로 구성된 팀컬러입니다.,3명,-,-,-,크로스 +2 / 볼 컨트롤 +1 /  / ,-,-,-
레드데블스 트리오,맨체스터 유나이티드 트리오로 구성된 팀컬러입니다.,3명,-,-,-,속력 +2 / 골 결정력 +1 /  / ,-,-,-
로스 블랑코스 06-07,로스 블랑코스의 06-07시즌에 활약했던 선수들로 구성된 팀컬러입니다.,8명,-,-,-,크로스 +3 / 골 결정력 +3 / 시야 +2 / 위치 선정 +2,-,-,-
로스 블랑코스 공격 듀오,레알 마드리드의 전설적인 공격 듀오로 구성된 팀컬러입니다.,2명,-,-,-,짧은 패스 +1 / 침착성 +1 /  / ,-,-,-
로스 블랑코스 듀오,레알 마드리드의 전설적인 콤비로 구성된 팀컬러입니다.,2명,-,-,-,적극성 +1 / 몸싸움 +1 /  / ,-,-,-
로스 블랑코스 유럽 3연패,레알 마드리드의 유럽대회 3연패를 달성한 선수들로 구성된 팀컬러입니다.,5명,-,-,-,슛 파워 +2 / 중거리 슛 +2 / 속력 +1 / ,-,-,-
로스 블랑코스 중원 트리오,레알 마드리드의 중원 트리오로 구성된 팀컬러입니다.,3명,-,-,-,긴 패스 +2 / 가로채기 +1 /  / ,-,-,-
로스 블랑코스 트리오,레알 마드리드 트리오로 구성된 팀컬러입니다.,3명,-,-,-,골 결정력 +1 / 속력 +2 /  / ,-,-,-
로스 블랑코스 황금세대,로스 블랑코스의 전성기를 이끈 선수들로 구성된 팀컬러입니다.,5명,-,-,-,긴 패스 +3 / 골 결정력 +2 /  / ,-,-,-
로쏘네리 공격 트리오,AC밀란의 유명한 공격 트리오로 구성된 팀컬러입니다.,3명,-,-,-,골 결정력 +2 / 드리블 +1 /  / ,-,-,-
로쏘네리 듀오,AC 밀란의 전설적인 듀오로 구성된 팀컬러입니다.,2명,-,-,-,가속력 +1 / 반응 속도 +1 /  / ,-,-,-
로쏘네리 중원 듀오,AC밀란의 유명한 중원 콤비로 구성된 팀컬러입니다.,2명,-,-,-,시야 +1 / 가로채기 +1 /  / ,-,-,-
로쏘네리 철벽라인,AC밀란의 전설적인 수비라인으로 구성된 팀컬러입니다.,3명,-,-,-,슬라이딩 태클 +2 / 크로스 +1 /  / ,-,-,-
로쏘네리 철벽수비 듀오,AC 밀란의 전설적인 수비 듀오로 구성된 팀컬러입니다.,2명,-,-,-,대인 수비 +1 / 태클 +1 /  / ,-,-,-
리버풀 엠버서더,리버풀 엠버서더로 구성된 팀컬러입니다.,3명,-,-,-,적극성 +2 / 스태미너 +1 /  / ,-,-,-
마법같은 우승,레스터 황금세대로 구성된 팀컬러입니다.,5명,-,-,-,속력 +1 / 긴 패스 +2 / 태클 +2 / ,-,-,-
맨시티 아이콘,맨체스터 시티 아이콘으로 구성된 팀컬러입니다.,3명,-,-,-,긴 패스 +2 / 점프 +1 /  / ,-,-,-
무적 거너스,아스날의 황금세대 멤버로 구성된 팀컬러입니다.,5명,-,-,-,속력 +3 / 밸런스 +2 /  / ,-,-,-
바르샤 두번째 트레블,바르셀로나의 두번째 트레블을 달성한 선수들로 구성된 팀컬러입니다.,5명,-,-,-,드리블 +2 / 속력 +2 / 커브 +1 / ,-,-,-
바르샤 듀오,바르셀로나 듀오로 구성된 팀컬러입니다.,2명,-,-,-,볼 컨트롤 +1 / 짧은 패스 +1 /  / ,-,-,-
바르샤 중원 트리오,바르셀로나의 전설적인 중원 트리오로 구성된 팀컬러입니다.,3명,-,-,-,시야 +2 / 짧은 패스 +1 /  / ,-,-,-
바르샤 철벽수비 듀오,바르셀로나의 전설적인 듀오로 구성된 팀컬러입니다.,2명,-,-,-,적극성 +1 / 슬라이딩 태클 +1 /  / ,-,-,-
바르샤 첫번째 트레블,바르셀로나의 첫번째 트레블을 달성한 선수들로 구성된 팀컬러입니다.,5명,-,-,-,짧은 패스 +2 / 볼 컨트롤 +2 / 민첩성 +1 / ,-,-,-
바르샤 트리오,바르셀로나 트리오로 구성된 팀컬러입니다.,3명,-,-,-,골 결정력 +2 / 드리블 +1 /  / ,-,-,-
바이언 두번째 트레블,바이에른 뮌헨의 두번째 트레블을 달성한 선수들로 구성된 팀컬러입니다.,5명,-,-,-,골 결정력 +2 / 헤더 +2 / 가속력 +1 / ,-,-,-
바이언 첫번째 트레블,바이에른 뮌헨의 첫번째 트레블을 달성한 선수들로 구성된 팀컬러입니다.,5명,-,-,-,속력 +2 / 가속력 +2 / 드리블 +1 / ,-,-,-
바이언의 양날개,바이에른 뮌헨의 전설적인 윙어로 구성된 팀컬러입니다.,2명,-,-,-,민첩성 +1 / 드리블 +1 /  / ,-,-,-
베르가모 칼초 공격 트리오,베르가모 칼초의 유명한 공격 트리오로 구성된 팀컬러입니다.,3명,-,-,-,커브 +2 / 침착성 +1 /  / ,-,-,-
벨기에 형제,벨기에의 유명한 형제 선수로 구성된 팀컬러입니다.,2명,-,-,-,볼 컨트롤 +1 / 드리블 +1 /  / ,-,-,-
벨기에 황금세대,벨기에 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,중거리 슛 +3 / 골 결정력 +2 /  / ,-,-,-
브라질 트리오,브라질 트리오로 구성된 팀컬러입니다.,3명,-,-,-,골 결정력 +1 / 드리블 +2 /  / ,-,-,-
브라질 황금세대,브라질 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,드리블 +2 / 커브 +2 / 가속력 +1 / ,-,-,-
블루문 기적의 우승,맨체스터 시티의 유명한 공격 트리오로 구성된 팀컬러입니다.,3명,-,-,-,골 결정력 +2 / 헤더 +1 /  / ,-,-,-
블루문 듀오,맨체스터 시티의 유명한 듀오로 구성된 팀컬러입니다.,2명,-,-,-,반응 속도 +1 / 짧은 패스 +1 /  / ,-,-,-
블루문 철벽 수비 듀오,맨체스터 시티의 유명한 수비수 콤비로 구성된 팀컬러입니다.,2명,-,-,-,태클 +1 / 적극성 +1 /  / ,-,-,-
블루스 영혼의 듀오,첼시의 뛰어난 호흡을 보인 두 선수로 구성된 팀컬러입니다.,2명,-,-,-,중거리 슛 +1 / 위치 선정 +1 /  / ,-,-,-
블루스의 심장,첼시의 황금세대 멤버로 구성된 팀컬러입니다.,3명,-,-,-,밸런스 +1 / 긴 패스 +2 /  / ,-,-,-
비안코네리 듀오,유벤투스의 전설적인 듀오로 구성된 팀컬러입니다.,2명,-,-,-,커브 +1 / 헤더 +1 /  / ,-,-,-
비안코네리 밸런스,유벤투스의 황금라인으로 구성된 팀컬러입니다.,3명,-,-,-,밸런스 +1 / 중거리 슛 +1 / 긴 패스 +1 / ,-,-,-
비안코네리 빗장수비진,유벤투스의 빗장수비진으로 구성된 팀컬러입니다.,3명,-,-,-,몸싸움 +1 / 헤더 +2 /  / ,-,-,-
비안코네리 철벽수비 듀오,유벤투스의 수비진 듀오로 구성된 팀컬러입니다.,2명,-,-,-,대인 수비 +1 / 태클 +1 /  / ,-,-,-
비안코네리의 신사들,유벤투스가 강등되었을 때에도 팀에 남아 다시 승격을 시킨 주인공들로 구성된 팀컬러입니다.,4명,-,-,-,반응 속도 +2 / 짧은 패스 +2 /  / ,-,-,-
스퍼스 영혼의 콤비,토트넘의 영혼의 콤비로 구성된 팀컬러입니다.,2명,-,-,-,가속력 +2 / 시야 +1 /  / ,-,-,-
스퍼스 황금라인,토트넘의 유명한 4인조로 구성된 팀컬러입니다.,3명,-,-,-,중거리 슛 +2 / 밸런스 +1 /  / ,-,-,-
스페인 듀오,스페인의 전설적인 듀오로 구성된 팀컬러입니다.,2명,-,-,-,가속력 +1 / 골 결정력 +1 /  / ,-,-,-
스페인 황금세대,스페인 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,짧은 패스 +2 / 골 결정력 +2 / 볼 컨트롤 +1 / ,-,-,-
쌍용 듀오,FC서울의 쌍용으로 구성된 팀컬러입니다.,2명,-,-,-,긴 패스 +1 / 드리블 +1 /  / ,-,-,-
아르헨티나 신구의 조화,아르헨티나의 신구조화를 보여준 두 명의 선수로 구성된 팀컬러입니다.,2명,-,-,-,볼 컨트롤 +1 / 드리블 +1 /  / ,-,-,-
아르헨티나 황금세대,아르헨티나 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,드리블 +2 / 골 결정력 +2 / 속력 +1 / ,-,-,-
아버지와 아들,아버지와 아들로 구성된 팀컬러입니다.,2명,-,-,-,속력 +1 / 가속력 +1 /  / ,-,-,-
아약스 황금세대,아약스의 전성기를 이끈 선수들로 구성된 팀컬러입니다.,4명,-,-,-,위치 선정 +2 / 시야 +3 /  / ,-,-,-
알레띠 수비 듀오,아틀레티코 마드리드의 수비 듀오로 구성된 팀컬러입니다.,2명,-,-,-,대인 수비 +1 / 몸싸움 +1 /  / ,-,-,-
알레띠 중원 듀오,아틀레티코 마드리드의 중원 듀오로 구성된 팀컬러입니다.,2명,-,-,-,가로채기 +1 / 짧은 패스 +1 /  / ,-,-,-
오렌지 삼총사,네덜란드의 전설적인 트리오로 구성된 팀컬러입니다.,3명,-,-,-,민첩성 +2 / 밸런스 +1 /  / ,-,-,-
우루과이 듀오,우루과이의 유명한 듀오로 구성된 팀컬러입니다.,2명,-,-,-,위치 선정 +1 / 골 결정력 +1 /  / ,-,-,-
이탈리아 황금세대,이탈리아 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,대인 수비 +2 / 가속력 +2 / 가로채기 +1 / ,-,-,-
잘츠부르크 트리오,잘츠부르크의 공격 트리오로 구성된 팀컬러입니다.,3명,-,-,-,골 결정력 +2 / 속력 +1 /  / ,-,-,-
전북 트리오,전북현대 트리오로 구성된 팀컬러입니다.,3명,-,-,-,발리 슛 +1 / 헤더 +2 /  / ,-,-,-
칠레 황금세대,칠레 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,슛 파워 +2 / 스태미너 +2 / 드리블 +1 / ,-,-,-
코리안 듀오,전설적인 한국인 해외리거 듀오로 구성된 팀컬러입니다.,2명,-,-,-,민첩성 +1 / 밸런스 +1 /  / ,-,-,-
코리안 사제,한국의 유명한 사제지간으로 구성된 팀컬러입니다.,2명,-,-,-,긴 패스 +1 / 볼 컨트롤 +1 /  / ,-,-,-
코리안 트리니티,전설적인 한국인 해외리거로 구성된 팀컬러입니다.,3명,-,-,-,속력 +1 / 밸런스 +1 / 스태미너 +1 / ,-,-,-
파르테노포이 공격 트리오,나폴리 FC의 유명한 공격 트리오로 구성된 팀컬러입니다.,3명,-,-,-,위치 선정 +2 / 드리블 +1 /  / ,-,-,-
파르테노포이 듀오,나폴리 FC에서 뛰어난 호흡을 보인 두 선수로 구성된 팀컬러입니다.,2명,-,-,-,골 결정력 +2 / 위치 선정 +1 /  / ,-,-,-
파르테노포이 트리오,나폴리 FC 트리오로 구성된 팀컬러입니다.,3명,-,-,-,스태미너 +2 / 위치 선정 +1 /  / ,-,-,-
파리 공격 트리오,파리 생제르맹 공격 트리오로 구성된 팀컬러입니다.,3명,-,-,-,속력 +2 / 드리블 +1 /  / ,-,-,-
파리 브라질리언 수비 듀오,파리 생제르맹의 브라질리언 수비 듀오로 구성된 팀컬러입니다.,2명,-,-,-,반응 속도 +1 / 대인 수비 +1 /  / ,-,-,-
파리 황금 공격라인,파리 생제르맹의 황금 공격라인으로 구성된 팀컬러입니다.,3명,-,-,-,드리블 +2 / 슛 파워 +1 /  / ,-,-,-
포르투갈 황금세대,포르투갈 황금세대 선수들로 구성된 팀컬러입니다.,3명,-,-,-,커브 +1 / 볼 컨트롤 +2 /  / ,-,-,-
푸거 코리안 듀오,아우크스부르크의 코리안 듀오로 구성된 팀컬러입니다.,2명,-,-,-,중거리 슛 +1 / 발리 슛 +1 /  / ,-,-,-
프랑스 1기 황금세대,프랑스 1기 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,볼 컨트롤 +3 / 밸런스 +2 /  / ,-,-,-
프랑스 2기 황금세대,프랑스 2기 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,짧은 패스 +3 / 밸런스 +2 /  / ,-,-,-
프랑스 듀오,프랑스의 전설적인 듀오로 구성된 팀컬러입니다.,2명,-,-,-,태클 +1 / 밸런스 +1 /  / ,-,-,-
프랑스 형제,프랑스의 유명한 형제 선수로 구성된 팀컬러입니다.,2명,-,-,-,속력 +1 / 슬라이딩 태클 +1 /  / ,-,-,-
